over_p [bar]	q [Nl/min]
5,582	52,41474773
5,578	52,21880546
5,569	52,67531098
5,563	51,99475588
5,56	52,29714537
5,552	52,05439287
5,544	51,98618791
5,54	52,20176804
5,536	52,11056571
5,529	51,92423747
5,525	51,83443887
5,52	52,30821438
5,512	51,72738006
5,504	51,75321596
5,501	51,79251823
5,493	51,32701046
5,486	51,8108282
5,482	51,77565236
5,479	51,95033395
5,471	51,34626203
5,464	51,47902911
5,461	51,66996473
5,457	51,72891501
5,448	51,19372905
5,444	51,1953869
5,436	51,1743172
5,428	50,67216264
5,425	50,85128957
5,416	51,61328175
5,41	51,10654482
5,404	50,78363064
5,401	50,51083459
5,398	50,95750801
5,391	50,58872919
5,387	50,43362484
5,383	51,03702142
5,374	50,51677217
5,368	50,9456772
5,363	50,63253691
5,354	50,61700992
5,348	50,42125394
5,345	50,28629133
5,341	50,10276681
5,332	49,98604036
5,326	50,66359591
5,316	50,30678133
5,311	50,33155424
5,306	49,64322677
5,298	49,75503544
5,29	50,13734922
5,286	50,22687774
5,282	50,18964434
5,275	49,38060132
5,27	49,47879493
5,267	50,07024317
5,259	49,4137179
5,253	49,18871413
5,249	49,62050905
5,24	49,67088564
5,232	49,72502989
5,229	49,68105764
5,225	49,80468439
5,218	49,21398901
5,212	48,78227161
5,208	49,61414943
5,204	49,18689036
5,195	49,06033519
5,189	48,6340314
5,185	49,44208999
5,177	48,5345587
5,172	49,31429706
5,163	49,33672033
5,156	48,61608556
5,151	49,40074252
5,142	49,05113461
5,135	48,78530873
5,132	48,18779004
5,128	48,25133602
5,12	48,38738443
5,113	48,66856599
5,109	48,73755794
5,106	48,46892615
5,097	48,67466154
5,093	48,46250315
5,088	48,14703148
5,079	47,92876513
5,072	48,26664141
5,07	47,89170169
5,067	47,72160099
5,058	47,7001588
5,052	47,72536139
5,044	48,44215151
5,036	47,48197644
5,033	48,09060846
5,029	47,37704755
5,02	48,16931354
5,013	47,26652781
5,009	47,6903575
5	47,62353958
4,996	47,42073115
4,991	47,91814972
4,982	47,79422862
4,978	47,92480941
4,972	47,32362931
4,964	47,60922232
4,956	47,2109507
4,952	47,26626375
4,943	46,83826408
4,939	47,48691137
4,933	46,74650708
4,925	46,99296183
4,92	47,29570031
4,915	46,70885338
4,907	47,03598254
4,9	46,60775562
4,897	46,82734103
4,893	46,97133052
4,885	46,41546109
4,879	46,37554908
4,874	46,58101461
4,865	46,75445848
4,858	46,61887513
4,854	45,9680537
4,846	46,63475411
4,841	46,25552818
4,832	45,95372312
4,824	46,37965648
4,82	46,29789254
4,817	46,57772942
4,809	46,25016081
4,802	45,67710425
4,797	45,47815935
4,794	45,82443564
4,787	45,76302099
4,781	45,51075428
4,776	45,74875345
4,768	45,56633242
4,762	45,4136928
4,753	45,2939382
4,746	46,11078787
4,741	45,12608417
4,737	45,29736616
4,728	45,28148551
4,722	44,87746659
4,712	45,39847654
4,705	45,24467509
4,702	44,85835186
4,699	45,43949182
4,695	45,54472033
4,688	44,85359327
4,684	44,67185139
4,679	45,1303711
4,67	44,94676419
4,666	45,39614295
4,662	44,63114533
4,657	45,1504106
4,65	44,71228777
4,643	44,64297068
4,638	44,45345673
4,63	44,41885598
4,625	44,78099191
4,621	44,81154685
4,617	44,17862532
4,61	44,89456651
4,603	44,18688314
